"","RX_ProgID","ItemMeta1","ServiceType","ProgName","ProgDescription","ProgCounts"
"82",82,"Code Enforcement","Community","Public Right of Way Nuisance Enforcement","Stop the illegal sale of goods in the right of way",4
"83",83,"Code Enforcement","Community","Sign and Banners Enforcement","Ensure that all properties do not exceed the allotted square footage allowed by city ordinance for temporary signage",3
"84",84,"Code Enforcement","Community","Unsafe Conditions or Buildings","Unsafe building investigations and complaint mitigations",2
"85",85,"Code Enforcement","Community","Blight Elimination","Declare a blighted condition on any home",3
"86",86,"Coroner","Community","Autopsy","Autopsy performed by a certified forensic pathologist  used to determine cause and manner of death when required",3
"87",87,"Coroner","Community","Coroner s Inquest","Assemble a jury to determine if criminal charges will be pressed",2
"88",88,"Coroner","Community","Coroner  Training","State required certification for elected  Coroner",2
"89",89,"Coroner","Community","Cremation and Disinterment Permit Issuance","Issue cremation authorizations after screening has taken place",2
"90",90,"Coroner","Community","Death Certificate Signing","Sign the death certificate according to the findings of the investigation",2
"91",91,"Coroner","Community","Death Notifications","Notify families and friends of death",2
"92",92,"Coroner","Community","Death Scene Investigations","Removal of the body from the scene after investigation and retains custody until released to the family",3
"93",93,"Coroner","Community","Livery Service","Transport decedents from the death scene to the hospital morgue  funeral home  and or autopsy facility as necessary",2
"94",94,"Coroner","Community","Post Mortem Examinations","Coroner  makes decision when an autopsy is necessary to determine cause and manner of death",3
"95",95,"Coroner","Community","Toxicology","Lab procedures to identify and quantify potential toxins  and interpretations of the laboratory findings",3
"96",96,"County Administration","Community","Community Support","Attend community functions  write letters of support and be supportive of outside agencies impacted by county operations",3
"97",97,"County Administration","Governance","Commission Meeting Preparation","Assist the clerk in commission meeting agendas and list items needed to be discussed by the commissioners",3
"98",98,"County Administration","Governance","Policy Advocacy","Work with elected and other appointed officials at local  state and federal government to advocate for policies",3
"99",99,"Court","Community","Bonds","Process all bonds for traffic or misdemeanor cases",3
"100",100,"Court","Community","Court Security","Protect court staff  witnesses  jurors  and the public",6
"101",101,"Court","Community","Customer Service","Assist citizens at the counter with questions or via telephone",4
"102",102,"Court","Community","In Custody Videos","Provide in custody videos for defendants who have been arrested  and have not yet been advised on charges or have not been able to post bond",4
"103",103,"Court","Community","Judicial Services","Trials  hearings  appearances  protective orders  and jury management",3
"104",104,"Court","Community","Appeals Jury Trials","Document and prepare cases as needed",3
"105",105,"Court","Community","Probation","Provide both supervised and unsupervised probation for defendants",6
"106",106,"Court","Community","Court Appointed Counsel","Legal representation to individuals needing a court appointed attorney",4
"107",107,"Court","Community","Restitution","Provide restitution for victims",4
"108",108,"Court","Community","Court Interpreters","Interpreters for non English speaking defendants  and sign language interpreters",5
"109",109,"Court","Community","Tickets","Process all tickets",4
"110",110,"Court","Community","Case Processing","Process all court proceedings  docket all actions taken with appropriate docket code  process all protective order filings  etc",4
"111",111,"Court","Community","Case Management","Monitor pending caseload  maintain court calendar  process exhibits",4
"112",112,"Court","Community","Court Records Retention","Archiving of contract  grant  bid  court  compliance records  etc",3
"113",113,"Court","Community","Enforcement of Orders","Calendar payment contracts  criminal case and all non compliance follow up",2
"114",114,"Court","Community","Prisoner Management","Transport  search  secure  and manage behavior of prisoners",3
"115",115,"Court","Community","Weddings","Schedule weddings and perform ceremonies",3
"116",116,"Development","Community","Business License Review and Compliance","Support to city code  including building  and site inspections",4
"117",117,"Development","Community","Home Occupation Inspections and Compliance","Implement city code and site inspections",3
"118",118,"Development","Community","Public Hearings Support Planning and Zoning Issues","Provide administrative support for hearings including preparation of meeting minutes and noticing public hearings",5
"119",119,"Development","Community","Building Construction Administration & Permitting","Enforcement and inspections for business licenses",5
"120",120,"Development","Community","Building Construction Inspection","Grading  drainage  and sidewalk inspection",3
"121",121,"Development","Community","Building Construction Plan Review","Review for compliance with zoning regulations and site engineering requirements",5
"122",122,"Development","Community","Business Licensing","Ensure all businesses obtain a city license before starting operations  and follow up on business renewal on a quarterly basis",3
"123",123,"Development","Community","Site Plan Review","Enforce zoning laws",3
"124",124,"Development","Community","Work Without Permits","Ensure contractors  builders  plumbers  and electricians have proper work permits",4
"125",125,"Development","Community","Grading and Drainage Plan Review","Review drainage reports  grading and drainage plans and erosion control plans",2
"126",126,"Economic Development","Community","Economic Development Outreach","Manage business relations",3
"127",127,"Economic Development","Community","Business Relations","Work with potential businesses  to increase retail and office business opportunities for the city",2
"128",128,"Economic Development","Community","Promotion of the City","Coordinate  plan and execute public events  secure paid advertisements to promote different city events and activities",2
"129",129,"Economic Development","Community","Business and Community Engagement","Promote city businesses via web sites  news letters  city newspaper  etc",5
"130",130,"Economic Development","Community","Business Attraction","Promote prosperities to businesses seeking locations  consultants and developers",4
"131",131,"Economic Development","Community","Business Retention","Work on an ongoing basis with local businesses to help them grow and expand",2
"132",132,"Economic Development","Community","Visitor Center Operations","Supply materials to Visitor Centers",1
"133",133,"Fairgrounds","Community","4 H and FFA Educational Programs","Presentation of useful information related to agricultural  family & consumer science  youth development  family life  business & healthy living",2
"134",134,"Fairgrounds","Community","4H Club Use and Competitions","Provide buildings and space for meetings and competitions  Do all cleanup for these events  Setup and take down of panels and pens",4
"135",135,"Fairgrounds","Community","County Fair","Competitions and exhibits",2
"136",136,"Fairgrounds","Community","County Fair Setup & Take Down Cleanup","All setup and takedown of panels & pens  Cleanup of all bedding and manure  Put all equipment away",3
"137",137,"Fairgrounds","Community","Event and Facility Marketing","Promote and advertise events held at the facility  Maintain website and event calendar",2
"138",138,"Fairgrounds","Community","Fairgrounds Facility Building Maintenance","Cleaning of the facility  inventory of tables and chairs  and other minor repairs as needed",4
"139",139,"Fairgrounds","Community","Fairgrounds Grounds Maintenance and Landscaping","Mowing  trimming  fertilizing  irrigation  weed control and cleanup of the property",3
"140",140,"Fairgrounds","Community","Fairgrounds Parking Lot and Roadway Maintenance","Maintain parking lots  gravel roads and lots",3
"141",141,"Fairgrounds","Community","Tradeshows","Featuring home decor  cabinets  out door furniture  agriculture shows  antique and craft shows   Assists event sponsor and guests as needed including maintaining restrooms & assisting with trash removal",2
"142",142,"Fairgrounds","Community","Event Scheduling and Contract Management","Establishes  implements and follows scheduling procedures for all fairgrounds facilities event usage  Bookings Event insurance Fee collections Scheduling events",3
"143",143,"Fairgrounds","Community","Facility Maintenance and Repair","Facility upkeep of 22 structures Plumbing  Electrical Heating  ventilation  air conditioning maintenance and repairs",2
"144",144,"Fairgrounds","Community","Facility Management","Coordinates special event scheduling & facility usage with event sponsors   Utilizes Mt director  BOCC  & existing facilities users to update long term maintenance and improvement  program to maintain enhance facilities",2
"145",145,"Fairgrounds","Community","Private Event Facility Rental","Birthday parties Baby showers Wedding receptions Family re unions",3
"146",146,"Fairgrounds","Community","Public Dances and Concerts Management","Prepares for by placing stage and ticket booth  conducts event sponsor pre post walk thru",2
"147",147,"Fairgrounds","Community","Service Contract Coordination","Prepares or reviews plans and specifications for the supplies  services and contracts  Trash  Mops  rugs  porta potties Frozen 20   bags of ice  Trash pick up & removal plus pest control",2
"148",148,"Fairgrounds","Community","Youth Sporting Events","Boxing Gymnastics Pole vaulting",2
"149",149,"Financial Services","Governance","Accounts Payable Processing and Maintenance","Pay outstanding invoices",10
"150",150,"Financial Services","Governance","Annual External Audit","Assist with annual external audit",6
"151",151,"Financial Services","Governance","Capital Asset Reporting  Tracking  and Accounting","Recording capital assets and updating depreciation schedules",4
"152",152,"Financial Services","Governance","Bank and Treasury Management","Manage city s various bank accounts",4
"153",153,"Financial Services","Governance","Bank Reconciliations","Reconcile bank statements to general ledger",5
"154",154,"Financial Services","Governance","Cashiering and Payment Receipt Processing","Accept and process  payments made via the cashier s desk and reconcile cash drawers",4
"155",155,"Financial Services","Governance","Comprehensive Annual Financial Report  CAFR  Preparation","Prepare and issue CAFR",6
"156",156,"Financial Services","Governance","Financial Reporting","Prepare monthly and quarterly financial statements",8
"157",157,"Financial Services","Governance","General Ledger Maintenance","Prepare journal entries  edit general ledger accounts and manage access",6
"158",158,"Financial Services","Governance","Unclaimed Property Filings","Update and report unclaimed properties",4
"159",159,"Financial Services","Governance","Accounts Receivable Processing and Maintenance","Generate invoices for services provided by the city",7
"160",160,"Financial Services","Governance","Payroll Processing and Reporting","Process payroll for employees",10
"161",161,"Financial Services","Governance","Cash and Investment Management","Report and manage city s cash and investments",6
"162",162,"Financial Services","Governance","Debt Planning and Management","Plan and manage the issuance of debt  and administer the city s debt portfolio",6
"163",163,"Financial Services","Governance","Rating Agency and Investor Relations","Monitor city s investment bond ratings  maintain relationships with bond rating agencies and continuing disclosures",4
"164",164,"Financial Services","Governance","Internal Control and Policy Development and Implementation","Review and implement internal control policies",5
"165",165,"Financial Services","Governance","Capital Budget Development   Approval  and Monitoring","Develop  prepare and review annual capital budget",6
"166",166,"Financial Services","Governance","Financial Planning and Monitoring","Develop  review  and perform various analysis related to the financial plan",6
"167",167,"Financial Services","Governance","Performance Management Development  Tracking and Reporting","Create  track and report on performance measures for each department",3
"168",168,"Financial Services","Governance","Priority Based Budget Development  Implementation  and Reporting","Develop  implement  and report on the priority based budget program",4
"169",169,"Financial Services","Governance","Budget Development   Approval  and Monitoring","Develop  approve and monitor annual budget",10
"170",170,"Financial Services","Governance","Grant Analysis  Monitoring  and Reporting","Coordinate and manage grant activity related",8
"171",171,"Financial Services","Governance","Grant Application Review and Approval","Apply  review and approve various grant applications",3
"172",172,"Financial Services","Governance","Cellular Phone Issuance and Maintenance","Issue new and replacement cell phones to city staff   Manage phone options and assist staff with options for coverage and usage",3
"173",173,"Financial Services","Governance","Contract and Agreement Development and Management","Write  review and maintain city contracts",3
"174",174,"Financial Services","Governance","Invitations for Bid  IFB  Processing and Management","Write  disburse and manage all IFB solicitations  including bid opening and analysis  and contract execution and management",4
"175",175,"Financial Services","Governance","Procurement Card  P Card  Management and Compliance","Issue p cards in accordance to policy  manage accounts  and process procurement card transactions",8
"176",176,"Financial Services","Governance","Purchase Order Processing and Management","Manage the procurement of goods and services in compliance with the city procurement code",6
"177",177,"Financial Services","Governance","Request for Proposals  RFP  Processing and Management","Write  disburse and manage all RFP solicitations  including RFP evaluation and contract execution and management",4
"178",178,"Financial Services","Governance","Request for Qualifications  RFQ  Solicitation and Management","Write  disburse and manage all RFQ solicitations  including RFQ evaluation",4
"179",179,"Financial Services","Governance","Vendor Registry","Setup commodity codes designated by vendor",4
"180",180,"Fire OR Emergency Management","Community","Disaster Recovery","Coordinate recovery efforts  to ensure proper documentation for reimbursement",4
"181",181,"Fire OR Emergency Management","Community","Emergency Communications Management","Maintain emergency communications plans and communication rooms",5
"182",182,"Fire OR Emergency Management","Community","Emergency Preparedness Outreach and Training","Community outreach in the form of training or presentations relating to emergency management and emergency preparedness",4
"183",183,"Fire OR Emergency Management","Community","Emergency Response Exercises","Develop and conduct full scale  functional and table top emergency response exercises to test emergency operations plan",5
"184",184,"Fire OR Emergency Management","Community","Typed Resources Management","Maintain records on Federal Emergency Management Agency  FEMA  qualified typed resources available for deployment",4
"185",185,"Fire OR Emergency Management","Community","Emergency Vehicle Management","Maintain emergency medical vehicles",4
"186",186,"Fire OR Emergency Management","Community","Emergency Medical Services","Advanced and basic life support  ambulance transport services  medical alarm response  fire  emergency medical and motor vehicle collision response",4
"187",187,"Fire OR Emergency Management","Community","Fire Inspections","Fire inspections for businesses  daycares  homecare facilities  and adult and senior care facilities  fireworks  hospitals  schools  and special events",3
"188",188,"Fire OR Emergency Management","Community","Fire Investigations","Fire origin and cause  fire watch  and assist law enforcement with criminal investigation",3
"189",189,"Fire OR Emergency Management","Community","Fire Response","Suppress and extinguish fires to protect lives and to prevent the destruction of property  On scene incident management",4
"190",190,"Fire OR Emergency Management","Community","Fire Scene Rehabilitation","Materials and equipment to provide on scene rehabilitation of firefighters",4
"191",191,"Fire OR Emergency Management","Community","Plan Review","Review commercial construction plans for proper fire safety features",3
"192",192,"Fire OR Emergency Management","Community","School Fire Drills","Collaborate with local schools for routine fire drills",3
"193",193,"Fire OR Emergency Management","Community","Special Event Stand by Services","Medical stand by services for special events and extended incidents",4
"194",194,"Fire OR Emergency Management","Community","Early Warning System Management","Coordinator of the mass notification system",3
"195",195,"Fire OR Emergency Management","Community","Emergency Operations Center Management","Serve as emergency operations center manager in times of a disaster",6
"196",196,"Fire OR Emergency Management","Community","Emergency Warning System Coordination","Serve as a liaison for purchasing  licensing  and general maintenance of communication and warning signals",2
"197",197,"Fire OR Emergency Management","Community","First Aid and CPR Training","Conduct classes  workshops  and demonstrations to teach principles  techniques  or methods",3
"198",198,"Fire OR Emergency Management","Governance","Employee Safety Planning","Establish  maintain  and implement a safety plan for employees",2
"199",199,"Fire OR Emergency Management","Community","Ambulance Billing","Ensures accuracy of patient care reports for billing purposes and submits billing to various entities for payment",2
"200",200,"Fire OR Emergency Management","Community","State Inspection Compliance Monitoring","Ensures that department is in compliance with state regulations and statutes for annual inspection",2
"201",201,"Fire OR Emergency Management","Community","Controlled Medication Storage Management","Controlled medications are secured and logged to ensure their proper use",2
"202",202,"Fire OR Emergency Management","Community","Basic Level Intra facility Patient Transfers","Providing basic level  non paramedic  patient transfers from one medical facility to another medical facility",2
"203",203,"Fire OR Emergency Management","Community","Patient Care Reports","Each ambulance call needs to be documented to provide record of all pertinent events that occurred during the call",3
"204",204,"Fire OR Emergency Management","Community","Quality Assurance and Improvement","Program reviews all of the reports written for each call to ensure that medical protocols are being followed and identify any areas for improvement",2
"205",205,"Fire OR Emergency Management","Community","Emergency Vehicle Operation Training","Staff training on how to operate emergency vehicles",2
"206",206,"Fire OR Emergency Management","Community","Employee First Aid and CPR Training","Ensures staff is trained in CPR and advanced level medical response",2
"207",207,"Fleet","Governance","City Fleet Acquisition","Acquisition of new vehicles according to the budget",4
"208",208,"Fleet","Governance","City Fleet Fuel Station Management","Manage fuel keys and fuel usage by city departments",3
"209",209,"Fleet","Governance","City Fleet Maintenance and Repair","Fleet maintenance and repairs for all city vehicles",15
"210",210,"Fleet","Governance","City Fleet Replacement Management","Utilize a matrix system to determine proper interval of vehicle replacement",3
"211",211,"Fleet","Governance","City Vehicle Decal Installation and Removal","Install and remove city emblem decal",3
"212",212,"Fleet","Governance","Fleet Road Call Services","Answer phone calls  dispatch fleet staff  and tow truck to complete onsite repairs or tow vehicles to fleet shop or other repair facilities",3
"213",213,"Fleet","Governance","Fleet Vehicle Disposal","Manage the disposal  of vehicles by auction  trade in or salvage",4
"214",214,"Fleet","Governance","Fleet Vehicle Licensing","Manage vehicle licensing  registration  and insurance for city vehicles",3
"215",215,"Fleet","Governance","Fleet Vehicle Tracking","Manage and track the assignment of vehicles  Ensure all drivers are qualified to be operating certain vehicles and equipment",3
"216",216,"Fleet","Governance","Auto Body Repair","Manage auto body repairs",4
"217",217,"Golf","Community","Adult Golf Lessons","Provide adult golf lessons",1
"218",218,"Golf","Community","Golf Banquet","Food  drinks  and rentals of the facilities",1
"219",219,"Golf","Community","Golf Grounds Maintenance","Maintenance of the golf course",5
"220",220,"Golf","Community","Golf Operations  League  Tournaments  Rentals  Rounds","Leagues  tournaments  rentals rounds of golf",4
"221",221,"Golf","Community","Golf Pro Shops","Oversight of pro shop items  including sales  purchasing and monitoring inventory",2
"222",222,"Golf","Community","Youth Golf Lessons","Provide youth golf lessons",1
"223",223,"Golf","Community","Golf  Tournaments","Registrations  scheduling of staff  co ordination of golf course",2
"224",224,"Golf","Community","Driving Range Operations","Hiring and scheduling of range help  ball cleaning and sorting  etc",2
"225",225,"Golf","Community","Fairway Concessions","Sales occurring on the  golf  course",1
"226",226,"Golf","Community","Golf  Cart Fleet Maintenance","Mechanical repairs and scheduled maintenance",2
"227",227,"Golf","Community","Golf  Cart Rentals","Includes daily cleaning  staging  end of day parking",1
"228",228,"Health Services","Community","24 7 Residential Services","Includes varying degrees of 24 7 support and skill delivery for clients who are struggling with chronic mental illness",1
"229",229,"Health Services","Community","Acute Care","24 7 mobile crisis teams and call center that complete crisis assessments  and safety plans",1
"230",230,"Health Services","Community","Adult Mental  Health  Assessment","Support those in the community who are experiencing a serious mental illness",1
"231",231,"Health Services","Community","Alcohol and Other Drug Abuse Residential","Residential treatment services",1
"232",232,"Health Services","Community","Birth and Death Certificates Management  a","Prepare and provide birth and death certificates",1
"233",233,"Health Services","Community","Blood Bourne Pathogens Accidental Exposure Treatment","Treatment  follow up and documentation of accidental exposures",2
"234",234,"Health Services","Community","Blood Drive and Flu Vaccinations","Organize and coordinate bi annual blood drive and flu vaccinations",2
"235",235,"Health Services","Community","Blood Pressure Testing","Blood pressures checked by nursing staff",1
"236",236,"Health Services","Community","Breast Exams and Mammography Referrals","Provides breast exams  and self exam education",1
"237",237,"Health Services","Community","Community  Health  Clinic","Provide access to a low cost medical facility",2
"238",238,"Health Services","Community","First Aid & CPR Training","CPR and 1st Aid education for the public",1
"239",239,"Health Services","Community","Food Service Inspections","Inspections of permitted restaurants  grocery  warehouses  manufacturing convenience stores  food trucks and others that provide food to the public",2
"240",240,"Health Services","Community","Foster Care Licensing","Conduct assessments and monitoring of foster care providers",1
"241",241,"Health Services","Community","Group Counseling","Group counseling sessions",1
"242",242,"Health Services","Community","Health Code Violations","Responding to cases and inquires filed regarding  health violations and general information requests",2
"243",243,"Health Services","Community","Immunization Program","Reduce and eliminate vaccine preventable diseases by increasing and maintaining immunization coverage",2
"244",244,"Health Services","Community","In Home Care Support","In home care and assistance for residents experiencing  health  related difficulties",1
"245",245,"Health Services","Community","Individual Counseling","Individual counseling sessions",1
"246",246,"Health Services","Community","Licensing   Mobile Home Parks and Body Art Establishments","Provide  health  inspections and licensing for mobile home parks and body art establishments",1
"247",247,"Health Services","Community","Medicaid Billing","File for Medicaid reimbursement for services provided",2
"248",248,"Health Services","Community","Medical Protocol Review","Develops and reviews current medical protocols",1
"249",249,"Health Services","Community","Medical Records Management","Maintains records of all patient care reports",1
"250",250,"Health Services","Community","Medication Facilitation","Management of medications  Storage  inventory control  expiration date monitoring",1
"251",251,"Health Services","Community","Mental and Behavioral Health Education of Pregnant Women","Assess all women who seek guidance for their mental health needs throughout the pregnancy and delivery",1
"252",252,"Health Services","Community","Outpatient Services","Provides outpatient services to groups and individual clients",1
"253",253,"Health Services","Community","Patient Care Billing","Ensures accuracy of patient care reports for billing purposes and submits billing to various insurance private pay entities for payment",1
"254",254,"Health Services","Community","Patient Care Reports","Each patient contact needs to be documented to provide record of all pertinent events that occurred during the encounter",1
"255",255,"Health Services","Community","Physical Examinations","Physical examinations of patients",1
"256",256,"Health Services","Community","Pregnancy Testing  Counseling  and Referral","Provide pregnancy tests  counseling services and doctor referrals",2
"257",257,"Health Services","Community","Quality Assurance and Improvement","Program reviews the reports written for each patient encounter to ensure that medical protocols are being followed and identify any areas for improvement",1
"258",258,"Health Services","Community","School Inspections  pending","Inspect all licensed schools to ensure compliance with all applicable regulations",2
"259",259,"Health Services","Community","STD Testing  Treatment and Education","Perform testing for applicable clients with sexually transmitted infections  Provide treatment as needed  Educate clients",1
"260",260,"Health Services","Community","VA Health Care Assistance","Assist veterans with applications for VA  Health  Care to access medical care and services",1
"261",261,"Health Services","Community","WIC Program Outreach","Outreach nutrition education activities",1
